label,term,tf-idf
2-s2.0-850641822831,GDP,0.151322988244359
2-s2.0-850721685231,AI,0.11960858951051129
2-s2.0-850987601881,FMIs,0.10610695590042701
2-s2.0-851265328431,bill,0.10444253306277326
2-s2.0-851081595201,wallet,0.10405906175175715
2-s2.0-850906997991,cash,0.098874947750056
2-s2.0-851084055291,collapse,0.09791487474634994
2-s2.0-851084055291,Wirecard,0.09791487474634994
2-s2.0-851084055291,AG,0.09791487474634994
2-s2.0-851084055291,PSP,0.09791487474634994
2-s2.0-850713937611,DLT,0.09152180732304874
2-s2.0-850713801591,MIFs,0.08760804582568152
2-s2.0-850906997991,con-sumers,0.08536168567630507
2-s2.0-850906997991,premature,0.08536168567630507
2-s2.0-851084055291,June,0.08320899239340876
2-s2.0-851084055291,provider,0.08320899239340876
2-s2.0-850737711751,SCT,0.08316801609886293
2-s2.0-850737711751,Inst,0.08316801609886293
2-s2.0-850907391811,closed-loop,0.08220014176236784
2-s2.0-851012238891,demand,0.07708948245092326
2-s2.0-850641822831,RTGS,0.07686740881864604
2-s2.0-850906997991,demise,0.07254117285579224
2-s2.0-851265415781,ECPS,0.07185120305127837
2-s2.0-851265415781,Scheme,0.07185120305127837
2-s2.0-851245902751,IPS,0.07108410835678074
2-s2.0-850987965721,fraud,0.07022429370982605
2-s2.0-850907007291,quantum,0.06835946080854
2-s2.0-850856295421,PSD2,0.06828792736794383
2-s2.0-851265542671,PSPs,0.06764331976040852
2-s2.0-850987965721,interventions,0.06691669831911352
2-s2.0-850732718581,preference,0.06667925989774844
2-s2.0-850987560971,function,0.06617791207896837
2-s2.0-850906997991,reports,0.06504165361577742
2-s2.0-850880265521,Zelle,0.06443430467179158
2-s2.0-850880265521,RTP,0.06443430467179158
2-s2.0-850739988171,RTGS,0.06263270348185973
2-s2.0-851081618991,euro,0.06231721047159591
2-s2.0-850856287891,actors,0.061169853867586985
2-s2.0-850855782791,countries,0.05993323451253471
2-s2.0-851271559971,scheme,0.05956433225088507
2-s2.0-850641822831,data,0.05820547314451966
2-s2.0-850713275061,fuel,0.05723390959385498
2-s2.0-851265544491,euro,0.05680745710672921
2-s2.0-850741088481,Libra,0.05668344297862004
2-s2.0-850641776421,demand,0.05595204371437978
2-s2.0-850713302481,ISO,0.05595122228064064
2-s2.0-851023169941,ISO,0.05579793126069368
2-s2.0-850906997991,US,0.05559337676749273
2-s2.0-850641776421,cash,0.055284917021536685
2-s2.0-851081622441,spring,0.05525486707677839
2-s2.0-850987666651,assets,0.05480009450824524
2-s2.0-850907007291,computing,0.054687568646832
2-s2.0-851081622441,consumers,0.05312755265407171
2-s2.0-850739235571,software,0.05288048114721304
2-s2.0-850856225281,choice,0.05255304782741606
2-s2.0-851022575981,RTGS,0.052481886021006605
2-s2.0-850907469241,banking,0.05183930169394755
2-s2.0-851081795851,products,0.05112841701281743
2-s2.0-850790494471,CBDC,0.0508953449279863
2-s2.0-850987560971,compliance,0.050716764770344244
2-s2.0-850641822831,forecasts,0.050440996081453
2-s2.0-850880259041,activities,0.04878124021183307
2-s2.0-851014274891,schemes,0.04860678976170213
2-s2.0-850907469241,platforms,0.04852303627866453
2-s2.0-850641900841,NextGenPSD2,0.04836473232023096
2-s2.0-850739389451,entity,0.0482576672302925
2-s2.0-850641770861,e-cash,0.048247909295302864
2-s2.0-851265415781,EPI,0.047900802034185584
2-s2.0-851023169941,standards,0.04778474631930798
2-s2.0-850790448381,LEIs,0.047266294863639494
2-s2.0-850641477391,technologies,0.04705264123991712
2-s2.0-850906997991,consumers,0.0469001472147666
2-s2.0-850641817871,react,0.046888813258815464
2-s2.0-850641817871,language,0.046888813258815464
2-s2.0-850641817871,Regulators,0.046888813258815464
2-s2.0-850641817871,readers,0.046888813258815464
2-s2.0-850641817871,sensitivities,0.046888813258815464
2-s2.0-850987211051,sequences,0.04666970665480231
2-s2.0-850987666651,offering,0.046569641833348115
2-s2.0-850880314141,Inst,0.046401667518572914
2-s2.0-850880314141,SCT,0.046401667518572914
2-s2.0-850880314141,SEPA,0.046401667518572914
2-s2.0-850737711751,path,0.046378782645506524
2-s2.0-850737711751,months,0.046378782645506524
2-s2.0-851078908731,retailers,0.04570494578405981
2-s2.0-851023169941,taxonomies,0.04560418823802599
2-s2.0-851023169941,ERC,0.04560418823802599
2-s2.0-851023169941,Ethereum,0.04560418823802599
2-s2.0-851023169941,exploration,0.04560418823802599
2-s2.0-851023169941,crypto-assets,0.04560418823802599
2-s2.0-851081633351,Apple,0.04483644096129155
2-s2.0-850740668721,EU,0.04479049502645956
2-s2.0-851081618991,ECB,0.044536531657202644
2-s2.0-851081618991,blueprint,0.044536531657202644
2-s2.0-851022877291,accounts,0.04436391888335043
2-s2.0-850713801591,cartel,0.04380402291284076
2-s2.0-850713801591,prices,0.04380402291284076
2-s2.0-850641477391,processes,0.04380084230166094
2-s2.0-850987211051,funds,0.04353468675468967
2-s2.0-850741088481,capital,0.043517722109488864
